Agent Name,Latitude,longitude
Marjuma Telecom,22.79184,89.87692
Kazi Medical Hall,22.6579,89.77002
Nusrat Medicine Corner,22.57244,89.95683
DIGITAL IT CENTER,22.71634,89.83283
MUNNA TELECOM,22.79148,89.87604
M/S Habibur Rahaman Enterprise,22.49428,89.59333
Molla Telecom And Electronics,22.88987,89.77417
Disha Store,22.69637,89.75962
Maa Garments And Telecom,22.40899,89.74194
Imran Telecom,22.78638,89.68096
Modern Cosmetics,22.57244,89.95683
Mohona Telecom,22.78719,89.67835
M/S SAKIB ENTERPRISE,22.58227,89.66661
Rokomari Telecom,22.53288,89.59026
Sundarban Service Point,22.77442,89.71553
Udoy Electric,22.6579,89.77002
SAYED TELECOM,22.47071,89.60319
M/S Modina Islamic Point,22.45366,89.84988
SAGIR STORE,22.35144,89.81963
Sushmita Telecom,22.29992,89.84794
GAGODISH TELECOM,22.88987,89.77417
TARIN TELECOM,29.68189,76.98635
Abdullah Enterprise,22.57244,89.95683
Mizanur Store,22.5262,89.65318
Ramjan Telecom and Studio,22.6579,89.77002
RONY TELECOM,22.79148,89.87604
A Rahim Telecom,22.69637,89.75962
TANHA TELECOM,22.57244,89.95683
TOUCH POINT,22.57244,89.95683
Ejar Garage,22.46764,89.66756
Mehedi Telecom And Computer,22.57244,89.95683
Mohona Telecom And Variety Store,22.77442,89.71553
NURJAHAN TELECOM,22.58227,89.66661
Bangabandhu Proshikhon Kendro Borderguard Bangladesh,22.53288,89.59026
Tanvir Telecom,22.7653,89.71478
Maa Studio And Telecom,22.69637,89.75962
Vai Vai Teleocm,22.77442,89.71553
Alfi Arabi Telecom,22.57244,89.95683
Joy Store,22.58227,89.66661
Riad Telecom,22.77442,89.71553
Bhai Bhai Telecom And Store,22.6579,89.77002
SHADHIN BANGLA ENTERPRISE,22.58227,89.66661
Emam Store,22.40899,89.74194
